interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price,interconnector_6_price
2.4,9.0,2.4,2.4,2.4,9.0
2.4,9.0,2.4,2.4,2.4,9.0
2.4,9.0,2.4,2.4,2.4,12.1
2.4,12.1,2.4,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.2,2.4,2.4,12.2
2.4,14.6,35.8,2.4,2.4,14.6
2.4,14.6,33.8,2.4,2.4,14.6
2.4,13.5,13.5,2.4,2.4,13.5
2.4,12.1,12.2,2.4,2.4,12.2
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,2.4,2.4,2.4,2.3,12.1
2.3,2.4,2.4,2.4,2.3,9.1
2.3,2.4,2.4,2.4,2.3,5.2
2.3,2.4,2.4,2.3,2.3,2.4
2.3,2.4,2.4,2.3,2.3,2.4
1.8,2.4,2.4,2.3,2.3,2.4
1.8,2.4,2.4,2.3,2.3,5.2
2.0,2.4,2.4,2.3,2.3,9.1
2.0,2.4,2.4,2.3,2.3,9.1
2.0,2.4,2.4,2.3,2.3,2.4
2.3,2.4,2.4,2.3,2.3,2.4
2.3,2.4,2.4,2.3,2.3,2.4
2.3,2.4,2.4,2.3,2.3,2.4
2.3,2.4,2.4,2.3,2.3,2.4
2.3,2.4,2.4,2.4,2.3,5.2
2.3,12.1,12.1,2.4,2.3,12.1
2.3,12.1,12.1,2.4,2.3,12.1
2.4,22.6,22.6,2.4,2.3,22.6
2.4,22.6,22.6,2.4,2.3,22.6
2.3,22.6,22.6,2.4,2.3,22.6
2.3,22.6,22.6,2.4,2.3,22.6
2.3,22.6,22.6,2.4,2.3,22.6
2.3,22.6,22.6,2.4,2.3,22.6
2.3,22.6,14.6,2.4,2.3,22.6
2.3,2.4,2.4,2.3,2.3,18.7
2.3,2.4,2.4,2.3,2.3,18.7
2.3,2.4,2.4,2.3,2.3,12.1
2.3,2.4,2.4,2.3,2.3,12.1
2.3,2.4,2.4,2.3,2.3,12.1
2.3,2.4,2.4,2.3,2.3,12.1
2.3,2.4,2.4,2.3,2.3,12.1
2.3,2.4,2.4,2.3,2.3,12.1
1.8,2.4,2.4,2.3,2.3,12.1
1.8,2.4,2.4,2.3,2.3,2.4
1.8,2.4,2.4,2.3,2.3,2.4
1.8,2.4,2.4,2.3,2.3,2.4
1.8,2.4,2.4,2.3,2.3,2.4
1.8,2.4,2.4,2.3,2.3,2.4
2.0,2.4,2.4,2.3,2.3,2.4
2.3,12.1,12.1,2.4,2.3,12.1
2.3,19.0,19.0,2.4,2.3,19.0
2.4,19.1,19.1,2.4,2.3,19.1
2.4,19.1,19.1,2.4,2.3,19.1
2.4,19.1,19.1,2.4,2.3,19.1
2.4,19.1,19.1,2.4,2.3,19.1
2.4,19.0,19.0,2.4,2.3,19.1
2.4,19.0,19.0,2.4,2.3,19.1
2.3,14.2,12.1,2.4,2.3,19.1
2.3,2.4,2.4,2.3,2.4,12.1
2.3,2.4,2.4,2.3,2.4,12.1
1.8,2.4,2.4,2.3,2.4,12.1
1.8,2.4,2.4,2.3,2.4,12.1
1.8,2.4,2.4,2.3,2.4,12.1
2.3,2.4,2.4,2.3,2.4,12.1
2.4,2.4,2.4,2.4,2.4,12.1
2.4,12.1,2.4,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.2,12.2,2.4,2.4,12.2
2.4,35.3,35.8,2.4,2.4,35.3
2.4,35.3,35.8,2.4,2.4,35.3
2.4,29.4,29.4,2.4,2.4,29.4
2.4,21.6,28.9,2.4,2.4,21.6
2.4,12.1,19.0,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,12.1,12.1,2.4,2.4,12.1
2.4,10.5,10.5,2.4,15.0,10.5
2.4,10.5,10.5,2.4,15.0,10.5
2.4,10.5,10.5,2.4,15.0,10.5
2.4,2.4,2.4,2.4,15.0,2.4
2.4,2.4,2.4,2.4,15.0,2.4
2.4,10.5,10.5,2.4,15.0,10.5
12.1,12.1,12.1,12.1,15.0,12.1
16.7,16.7,16.7,16.7,15.0,16.7
16.7,16.7,35.8,16.7,15.0,16.7
15.0,15.0,35.8,15.0,15.0,15.0
12.1,12.2,35.8,15.0,15.0,12.1
12.1,12.2,35.8,15.0,15.0,12.1
12.1,12.2,35.8,15.0,15.0,12.1
12.1,12.2,35.8,15.0,15.0,12.1
15.0,15.0,35.8,15.0,15.0,12.1
35.9,36.0,36.0,35.9,15.0,35.9
36.0,36.0,36.0,35.9,15.0,36.0
36.0,36.0,36.0,35.9,15.0,36.0
36.0,36.0,36.0,35.9,15.0,36.0
36.0,36.0,36.0,35.9,15.0,36.0
36.0,36.0,36.0,35.9,15.0,36.0
36.0,36.0,36.0,35.9,15.0,36.0
36.0,36.0,36.0,35.9,15.0,36.0
35.9,35.9,35.9,35.9,15.0,35.9
35.7,35.7,35.7,35.7,35.7,35.7
35.7,35.7,35.7,35.7,35.7,35.7
35.7,35.7,35.7,35.7,35.7,35.7
35.7,35.7,35.7,35.7,35.7,35.7
35.7,35.7,35.7,35.7,35.7,35.7
35.7,35.7,35.7,35.7,35.7,35.7
35.7,35.7,35.7,35.7,35.7,35.7
52.8,52.8,52.8,52.8,35.7,52.8
52.8,52.8,52.8,52.8,35.7,52.8
37.9,37.9,37.9,37.9,35.7,37.9
35.9,35.9,35.9,35.9,35.7,35.9
