interconnector_1_price,interconnector_2_price,interconnector_3_price,weather/wind_offshore_baseline,weather/wind_inland_baseline,weather/solar_pv_profile_1
0,21.49531192,0,1,0.846308671,0.185030634
0,21.49531192,0,1,0.743920325,0.270938047
0,21.49531192,0,1,0.71378613,0.305216147
0,21.49531192,0,1,0.660748042,0.289775321
0,21.49531192,24.07921542,1,0.547693565,0.224415307
28.68648564,21.52573699,24.11334613,1,0.419792032,0.113082729
28.70681624,56.30159194,24.11334613,1,0.337740542,0.007692873
83.00986595,62.12799284,69.67784306,1,0.311532658,0
83.03019656,62.12799284,69.69490841,1,0.305062357,0
83.03019656,62.12799284,69.69490841,1,0.27878041,0
83.03019656,62.1127803,69.69490841,0.791941134,0.219385575,0
83.05052717,62.1127803,69.69490841,0.867285087,0.148598982,0
83.05052717,62.12799284,69.69490841,0.396897604,0.094766565,0
83.05052717,61.07832792,68.5344643,0.358481608,0.069958782,0
87.99086452,21.57137459,24.18160755,0.328571325,0.071782139,0
87.99086452,21.54094952,24.14747684,0.207580918,0.094752751,0
38.38418489,21.49531192,24.11334613,0.190605124,0.126188336,0
28.76780806,21.49531192,24.11334613,0.152503017,0.18948356,0
28.76780806,21.49531192,24.11334613,0.08714669,0.26778514,0
28.78813867,21.54094952,24.14747684,0.012227508,0.322337083,0
28.82879988,21.57137459,24.18160755,0,0.352266911,0
81.64771532,61.10875299,68.5344643,0.108310563,0.383270973,0
85.3682163,63.90785943,71.67448955,0.130066364,0.430418826,0.000306449
85.3682163,63.90785943,71.67448955,0.361997397,0.482927711,0.017158117
85.34788569,63.87743436,71.67448955,0.421417455,0.533086986,0.041221841
0,63.87743436,71.67448955,0.378497939,0.608818608,0.04707523
0,63.87743436,71.67448955,0.49622503,0.72195099,0.051011098
0,63.87743436,71.67448955,0.800210163,0.780114857,0.044049665
0,63.87743436,71.67448955,1,0.741018924,0.031696402
0,101.9391969,114.3378762,0.768411186,0.666921779,0.016506951
0,134.5244468,129.0482119,0.999653865,0.581414023,0.001895323
136.2150629,135.8631499,143.5537634,0.957616484,0.499398796,0
140.80978,135.8631499,152.3936171,1,0.432804392,0
179.7428912,135.8631499,152.3936171,1,0.393516231,0
179.7428912,134.5092342,150.8918659,0.907603104,0.360869547,0
154.959882,115.9803666,130.0891985,0.385690446,0.316115096,0
145.6484643,109.0130256,122.2732661,0.475891912,0.288778275,0
140.80978,105.3772298,118.1946463,0.174854758,0.286321872,0
85.3885469,105.3315922,71.67448955,0.250428298,0.306965125,0
83.03019656,105.3315922,69.69490841,0.306471042,0.353656301,0
75.14192127,78.99869412,63.09061616,0.357581368,0.435988681,0
0.020330606,65.24656251,63.05648545,0.327429765,0.544123898,0
0,78.99869412,24.11334613,0.750497346,0.647316498,0
0,105.3315922,18.08927593,1,0.751366826,0
0,105.3468047,0,1,0.853390076,0
0,105.3772298,0,0.936654719,0.929565621,0
0,105.3468047,0.017065355,0.839845793,0.972667768,0.000339433
0,65.24656251,18.08927593,0.900923944,0.99735058,0.013384346
0,21.51052445,24.11334613,1,1,0.028649087
0,21.49531192,24.09628077,1,1,0.035060151
0,21.49531192,24.09628077,1,1,0.035022183
0,21.49531192,24.09628077,1,1,0.033010309
0,21.49531192,21.69006577,1,1,0.024712811
0,65.24656251,18.08927593,1,1,0.013751701
0,101.9087718,18.08927593,1,1,0.001815044
0,105.3315922,24.11334613,1,1,0
0,105.3315922,24.11334613,1,0.947628774,0
0,101.9087718,63.05648545,1,0.863168208,0
0,65.24656251,24.71063354,1,0.746971084,0
0,56.21031673,24.11334613,0.884853316,0.628096441,0
0,21.54094952,24.11334613,0.75272803,0.539724314,0
0,21.49531192,0.017065355,0.934882918,0.466585545,0
0.020330606,21.49531192,0,0.888408215,0.383776052,0
0.020330606,21.49531192,0,0.764075403,0.3126576,0
0.020330606,21.49531192,0,0.422453274,0.286248115,0
0.020330606,21.49531192,0,0.407787687,0.295253647,0
0.020330606,21.49531192,0,0.687124633,0.334317158,0
0.020330606,21.49531192,0,1,0.413054056,0
21.53011218,21.49531192,18.05514523,1,0.46436839,0
28.70681624,21.49531192,24.07921542,1,0.473315531,0
28.70681624,21.49531192,24.09628077,1,0.554622233,0.000228681
28.68648564,21.49531192,24.11334613,1,0.831278451,0.019942848
0,21.49531192,24.11334613,1,1,0.076200988
0,21.49531192,24.11334613,1,1,0.132918355
0,21.49531192,24.09628077,1,1,0.15542341
0,21.49531192,24.09628077,1,1,0.142825563
0,21.49531192,24.09628077,1,1,0.117738394
